URL,Nom,Type,Departement,Ville,Cap été,Cap hiver,Cheminée,Bois,Eau,Couchage,Rando
Details,refuge de lizara,"Refuge gardé l'été, partie hivernal",Aragon,Arag,75,75,,,,,bisaurin secus lac d estaens la senda de camille
Details,orri de malcaras,"Orri, Toue, abri en pierre",Ariège,Auzat,0,0,,,,,
Details,cabanes da naouo,Ruine,Haute-Pyrénées,Beaudéan,,,,,,,
Details,refuge des agols,Cabane ouverte,Andorre,Encamp,6,6,Oui,Oui,Oui,,pic del pla de l agols
Details,cabane pouylanes,Cabane ouverte,Catalonia,es B,0,0,,,,,
Details,cabane de lapassa ronglet col iseye,Cabane ouverte mais ocupée par le berger l'été,Pyrénées-Atlantique,Accous,6,6,,,,Place pour 4 sur la mezzanine,couloirs du pic ronglet col d iseye permayou embarere
Details,cabane de annes anes,Cabane ouverte,Pyrénées-Atlantique,Lescun,0,2,,,,,pic lariste
Details,cabane arnousse,Cabane ouverte mais ocupée par le berger l'été,Pyrénées-Atlantique,Urdos,0,0,,,Oui,,pic d arnousse
Details,cabane borde de passette,Cabane férmée,Pyrénées-Atlantique,Etsaut,0,0,,,,,
Details,refuge d arrioutort,Cabane ouverte,Pyrénées-Atlantique,Laruns,25,25,Oui,,Oui,,pic lasneresmontagnon d iseye
Details,cabane d aule,Cabane ouverte mais ocupée par le berger l'été,Pyrénées-Atlantique,Laruns,0,0,Oui,,,Bas flancs,
Details,cabane de couylaret,Cabane ouverte,Pyrénées-Atlantique,Borce,4,4,,,,,pic du baralet
Details,cabane grosse,Cabane férmée,Pyrénées-Atlantique,Borce,0,4,Oui,Oui,Oui,,col de couecq pic d arri
Details,refuge angel orus forcau,Cabane ouverte,Aragon,Sah,55,0,,Oui,Oui,,pic posets
Details,refuge de broate,Cabane ouverte,Catalonia,Lladorre,9,9,,,,,pic du port de sullo 3073m
Details,caseta forestal dels pollineres,Cabane férmée,Catalonia,Lles de Cerdanya,2,0,,,,non,estanys de la pera monturull pic de perafita pic des estanyons
Details,cabane de campilles,Cabane ouverte,Catalonia,Toses,4,4,,,,,
Details,cabane de castillou,Cabane ouverte,Pyrénées-Atlantique,Arudy,,3,,,,,soum de counee
Details,refuge centraleta,Refuge gardé toute l'année,Catalonia,la Vall de Bo,0,20,,,,,
Details,cabanes du col de beyrede,Cabane ouverte,Haute-Pyrénées,Beyrède-Jumet,8,8,Oui,Oui,Oui,6,
